id,name,state,postcode,lat,lng,area,region
155,Alligator Creek,QLD,4740,-21.323934,149.211059,Mackay & Whitsundays,Coastal QLD
156,Alligator Creek,QLD,4816,-19.424915,146.947198,Mackay & Whitsundays,Coastal QLD
157,Allingham,QLD,4850,-18.643978,146.164126,Mount Isa & North West,Central & West QLD
158,Allora,QLD,4362,-28.035848,151.982723,South,Central & West QLD
159,Alloway,QLD,4670,-24.952376,152.36214,Bundaberg & Wide Bay,Coastal QLD
160,Allworth,NSW,2425,-32.541688,151.960927,Mid North Coast,"Hunter, Central & Northern NSW"
161,Allynbrook,NSW,2311,-32.363343,151.536229,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
162,Alma Park,NSW,2659,-35.604129,146.791693,Riverina,Regional NSW
163,Alma,SA,5401,-34.266619,138.630864,Mid North,Mid North SA
164,Alma,VIC,3465,-37.028805,143.676819,Ballarat & Western District,South West VIC
165,Alma,WA,6535,-28.233375,114.693575,North,Northern WA
166,Almaden,QLD,4871,-17.340063,144.678134,Far North Queensland,Coastal QLD
167,Almonds,VIC,3727,-36.232281,146.056216,North Eastern,Northern VIC
168,Almurta,VIC,3979,-38.455398,145.584648,Gippsland,South East VIC
169,Alonnah,TAS,7150,-43.321476,147.242183,Hobart & Southern,Tasmania
170,Aloomba,QLD,4871,-17.11626,145.834863,Far North Queensland,Coastal QLD
171,Alpha,QLD,4724,-23.649656,146.641074,Central,Central & West QLD
172,Alphington,VIC,3078,-37.780767,145.03116,North,Melbourne
173,Alpine,NSW,2575,-34.409517,150.523957,Southern Highlands,South Coast NSW
174,Alpurrurulam,NT,4825,-20.984114,137.850749,Alice Springs,Northern Territory
175,Alsace,QLD,4702,-23.275888,149.350507,Central,Central & West QLD
176,Alstonvale,NSW,2477,-28.805607,153.445477,Northern Rivers,"Hunter, Central & Northern NSW"
177,Alstonville,NSW,2477,-28.842125,153.44036,Northern Rivers,"Hunter, Central & Northern NSW"
178,Alton Downs,QLD,4702,-23.307182,150.388035,Central,Central & West QLD
179,Altona East,VIC,3025,-37.8360775,144.8263871,West,Melbourne
180,Altona Gate,VIC,3025,-37.8257866,144.828719,West,Melbourne
181,Altona Meadows,VIC,3028,-37.871632,144.778084,West,Melbourne
182,Altona North,VIC,3025,-37.834708,144.847677,West,Melbourne
183,Altona,SA,5351,-34.597167,138.91362,Barossa Valley,Mid North SA
184,Altona,VIC,3018,-37.869275,144.830286,West,Melbourne
185,Alumy Creek,NSW,2460,-29.64092,152.951448,Northern Rivers,"Hunter, Central & Northern NSW"
186,Alva,QLD,4807,-19.457502,147.481727,Mount Isa & North West,Central & West QLD
187,Alvie,VIC,3249,-38.244321,143.481901,Great Ocean Rd / Otway Ranges,South West VIC
188,Alyangula,NT,885,-13.8528647,136.4224871,Alice Springs,Northern Territory
189,Amamoor Creek,QLD,4570,-26.359522,152.563309,Sunshine Coast,South East QLD
190,Amamoor,QLD,4570,-26.34524,152.674989,Sunshine Coast,South East QLD
191,Amaroo,ACT,2914,-35.170334,149.125877,Gungahlin,Canberra
192,Amaroo,NSW,2866,-33.184094,148.928934,Dubbo & Orana,Regional NSW
193,Amaroo,QLD,4829,-23.393865,139.673121,Central,Central & West QLD
194,Amata,NT,872,-25.962716,131.606872,Alice Springs,Northern Territory
195,Ambania,WA,6632,-28.695321,115.118798,North,Northern WA
196,Ambarvale,NSW,2560,-34.080467,150.803644,MacArthur/Camden,Sydney
197,Amber,QLD,4871,-17.747312,144.31566,Far North Queensland,Coastal QLD
198,Ambergate,WA,6280,-33.711626,115.326277,Busselton-Dunsborough & Surrounds,Southern WA
199,Amberley,QLD,4306,-27.640431,152.702399,Ipswich & West Moreton,South East QLD
